Text Label
ኣብ O
ዝሓለፈ B-DATE
ሰሙን I-DATE
ኣብ O
ኣመሪካ B-LOC
ብገበን O
ቕትለት O
ምስ O
ዝተጠርጠረ O
እሱር B-PER
ኣልባማ I-PER
ብምዃን O
ዝጠፍአት O
ሓላዊት O
ቤት O
ማእሰርቲ O
ርእሰ O
ቕትለት O
ከምዝፈጸመት O
ፖሊስ O
ገሊጹ O
። O

ጓል O
58 B-DATE
ዓመት I-DATE
ቪኪ B-PER
ዋይትን I-PER
ወዲ O
38 B-DATE
ዓመት I-DATE
ካሴይ B-PER
ዋይትን I-PER
ክልቲኦም O
ምምስሳል O
ሽም O
ኣቦ O
እኳ O
እንተሃለዎም O
ዝምድና O
የብሎምን O
ብፖሊስ O
ክድለዩ O
ዝጸንሑ O
ኮይኖም O
ኣብ O
ክፍለ B-LOC
ግዝኣት I-LOC
ኢንድያና I-LOC
ብፖሊስ O
ምስ O
ተትሓዙ O
እያ O
ቪኪ B-PER
ህይወታ O
ኣጥፊኣ O
። O

ሎሚ B-DATE
እቲ O
ሓደገኛ O
ሰብ O
ኣብ O
ጎደና O
ሒዝናዮ O
ኣለና O
ዳግም O
ፈጺሙ O
ብርሃን O
ኣይርእን O
ኢሉ O
። O

ካሴይ B-PER
ዋይት I-PER
ብመስከረም B-DATE
2020 I-DATE
ንጓል O
58 B-DATE
ዓመት I-DATE
ኮኒ B-PER
ሪጅወይ I-PER
ብካራ O
ብምውጋእ O
ብኽልተ O
ገበናት O
ቅትለት O
እዩ O
ተኸሲሱ O
። O

ኤጀንሲ B-ORG
ኣኽባሪ I-ORG
ፌደራላዊ I-ORG
ሕጊ I-ORG
ኣመሪካ I-ORG
እቲ O
እሱር O
ብ2015 B-DATE
ብስርቂ O
መኪና O
ብዝምታን O
ካብ O
ፖሊስ O
ብምህዳምን O
ዝርከቡዎም O
ዝተፈላለዩ O
ገበናት O
ተኣሲሩ O
ከም O
ዝነበረ O
ሓቢሩ O
። O

እቲ O
ቅትለት O
ተኣሚኑ O
ፍርዲ O
ይጽበ O
ከም O
ዝነበረውን O
ሰብ O
መዚ O
ገሊጾም O
። O

ገበነኛ O
ኮይኑ O
እንተተረኺቡ O
ብመቕተልቲ O
ክቕጻዕ O
ይኽእል O
እዩ O
። O

እንተኾነ O
እቲ O
ግጭት O
ንሓጺር B-DATE
ግዜ I-DATE
ዝጸንሐ O
ከም O
ዝኾነን O
ልዑል O
ቍጽሪ O
ዝሓዘ O
እግረኛ O
ሰራዊት O
ዘየካተተ O
ብኸቢድ O
ብረት O
ዝተገብረ O
ምልውዋጥ O
ተዅሲ O
እዩ O
ነይሩ O
ክብል O
ገሊጹ O
። O

እዚ O
መጥቃዕቲ O
ምትኹታኹ O
ባህሪ O
ህወሓት B-ORG
ዘርኢዩ O
ክብል O
ነቒፉ O
። O

ሓይልታት B-ORG
ትግራይ I-ORG
ነዚ O
ካብ O
ኤርትራ B-LOC
ዝተተኮሰ O
ከቢድ O
ብረትውን O
ግብረ O
መልሲ O
ከምዘይሃብሉ O
እቲ O
ጀነራል O
ሓቢሩ O
። O

እቲ O
ኣብ O
ባድመን B-LOC
ኣብ O
ራማን B-LOC
ውግእን O
ልውውጥ O
ተኹሲ O
ከቢድ O
ብረትን O
ነይሩ O
ዝብል O
ሓበሬታውን O
ካብ O
ሓቂ O
ዝረሓቐ O
ከምዝኾነ O
ብምግላፅ O
ነቲ O
ዝተገለፀ O
ሓበሬታ O
ነፂግዎ O
። O

ቢቢሲ B-ORG
ኣብዚ O
ጉዳይ O
ካብ O
መንግስቲ B-ORG
ኤርትራ I-ORG
መልሲ O
ንምርካብ O
ዝገበሮ O
ጻዕሪ O
ኣይሰመረን O
። O

ዛጊት O
ዝኣክል O
ሞትን O
ዕንወትን O
በጺሑ O
እዩ O
። O

እንተኾነ O
ህዝብና O
ብጥሜትን O
ብቐሊሉ O
ምክልኻል O
ዝከኣሉ O
ሕማማትን O
ክሃልቕ O
ስቕ O
ኢልና O
ክንዕዘብ O
ኣይንኽእልን O
። O

በዚ O
መሰረት O
ሰላማዊ O
ፍታሕ O
ዘይሰርሕ O
እንተኾይኑ O
ካልእ O
ኣገባብ O
ክንወስድ O
ክንግደድ O
ኢና O
ክብል O
ኣብ O
ደብዳበኡ O
ገሊጹ O
። O

ኣብቲ O
ልዕሊ O
ሓደ B-DATE
ዓመት I-DATE
ኣምስጺሩ O
ዘሎ O
ኣብ O
ትግራይ B-LOC
ዝተወልዐ O
ኲናት B-ORG
ሰራዊት B-ORG
ኤርትራ I-ORG
ከምዝተሳተፈን O
ብገበናት O
ሰብኣዊ O
መሰላት O
ክኽሰሱ O
ጸኒሖም O
እዮም O
። O

እቲ O
ኲናት O
ናብ O
ክልላት B-LOC
ዓፋርን I-LOC
ኣምሓራንውን O
ከም O
ዝልሓመ O
ይፍለጥ O
። O

ተኽለመድህን B-PER
ተኽለሃይማኖት I-PER
ወዲ O
14 B-DATE
ዓመት I-DATE
ቈልዓ I-DATE
እዩ O
። O

መርመራ O
ምስ O
ተገብረሉ O
ግን O
ሓካይም O
